Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,Australia,Australia,16 runs,Mumbai,"Feb 27, 1996",ODI # 1065
Kenya,West Indies,Kenya,73 runs,Pune,"Feb 29, 1996",ODI # 1066
Pakistan,South Africa,South Africa,5 wickets,Karachi,"Feb 29, 1996",ODI # 1067
Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996",ODI # 1068
Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996",ODI # 1069
India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996",ODI # 1070
Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996",ODI # 1071
Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996",ODI # 1072
Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996",ODI # 1073
India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996",ODI # 1075
Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996",ODI # 1074
Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996",ODI # 1076
England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",ODI # 1077
India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",ODI # 1078
South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996",ODI # 1079
Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996",ODI # 1080
India,Sri Lanka,Sri Lanka,,Kolkata,"Mar 13, 1996",ODI # 1081
Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996",ODI # 1082
Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",ODI # 1083
England,Sri Lanka,England,8 wickets,Lord's,"May 14, 1999",ODI # 1443
India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999",ODI # 1444
Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,"May 15, 1999",ODI # 1445
Australia,Scotland,Australia,6 wickets,Worcester,"May 16, 1999",ODI # 1446
Pakistan,West Indies,Pakistan,27 runs,Bristol,"May 16, 1999",ODI # 1447
Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999",ODI # 1448
England,Kenya,England,9 wickets,Canterbury,"May 18, 1999",ODI # 1449
India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999",ODI # 1450
South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999",ODI # 1451
Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999",ODI # 1452
Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999",ODI # 1453
Bangladesh,West Indies,West Indies,7 wickets,Dublin,"May 21, 1999",ODI # 1454
England,South Africa,South Africa,122 runs,The Oval,"May 22, 1999",ODI # 1455
Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,"May 22, 1999",ODI # 1456
India,Kenya,India,94 runs,Bristol,"May 23, 1999",ODI # 1457
Australia,Pakistan,Pakistan,10 runs,Leeds,"May 23, 1999",ODI # 1458
Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,"May 24, 1999",ODI # 1459
New Zealand,West Indies,West Indies,7 wickets,Southampton,"May 24, 1999",ODI # 1460
England,Zimbabwe,England,7 wickets,Nottingham,"May 25, 1999",ODI # 1461
Kenya,South Africa,South Africa,7 wickets,Amstelveen,"May 26, 1999",ODI # 1462
India,Sri Lanka,India,157 runs,Taunton,"May 26, 1999",ODI # 1463
Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,"May 27, 1999",ODI # 1464
Scotland,West Indies,West Indies,8 wickets,Leicester,"May 27, 1999",ODI # 1465
New Zealand,Pakistan,Pakistan,62 runs,Derby,"May 28, 1999",ODI # 1466
England,India,India,63 runs,Birmingham,"May 29-30, 1999",ODI # 1467
South Africa,Zimbabwe,Zimbabwe,48 runs,Chelmsford,"May 29, 1999",ODI # 1468
Kenya,Sri Lanka,Sri Lanka,45 runs,Southampton,"May 30, 1999",ODI # 1469
Australia,West Indies,Australia,6 wickets,Manchester,"May 30, 1999",ODI # 1470
Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,"May 31, 1999",ODI # 1471
Scotland,New Zealand,New Zealand,6 wickets,Edinburgh,"May 31, 1999",ODI # 1472
Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999",ODI # 1473
Pakistan,South Africa,South Africa,3 wickets,Nottingham,"Jun 5, 1999",ODI # 1474
New Zealand,Zimbabwe,no result,,Leeds,"Jun 6-7, 1999",ODI # 1475
India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999",ODI # 1476
Australia,Zimbabwe,Australia,44 runs,Lord's,"Jun 9, 1999",ODI # 1477
New Zealand,South Africa,South Africa,74 runs,Birmingham,"Jun 10, 1999",ODI # 1478
Pakistan,Zimbabwe,Pakistan,148 runs,The Oval,"Jun 11, 1999",ODI # 1479
India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999",ODI # 1480
Australia,South Africa,Australia,5 wickets,Leeds,"Jun 13, 1999",ODI # 1481
New Zealand,Pakistan,Pakistan,9 wickets,Manchester,"Jun 16, 1999",ODI # 1482
Australia,South Africa,tied,,Birmingham,"Jun 17, 1999",ODI # 1483
Australia,Pakistan,Australia,8 wickets,Lord's,"Jun 20, 1999",ODI # 1484
South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003",ODI # 1942
Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003",ODI # 1943
New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",ODI # 1944
Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003",ODI # 1945
Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003",ODI # 1946
South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003",ODI # 1947
India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003",ODI # 1948
Zimbabwe,England,Zimbabwe,,Harare,"Feb 13, 2003",ODI # 1948a
New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth,"Feb 13, 2003",ODI # 1949
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",ODI # 1950
Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951
Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003",ODI # 1952
England,Netherlands,England,6 wickets,East London,"Feb 16, 2003",ODI # 1953
Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003",ODI # 1954
South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",ODI # 1955
Bangladesh,West Indies,no result,,Benoni,"Feb 18, 2003",ODI # 1956
Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003",ODI # 1957
Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",ODI # 1958
England,Namibia,England,55 runs,Port Elizabeth,"Feb 19, 2003",ODI # 1959
Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003",ODI # 1960
Kenya,New Zealand,Kenya,,Nairobi (Gym),"Feb 21, 2003",ODI # 1960a
South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003",ODI # 1961
England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003",ODI # 1962
Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003",ODI # 1963
India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003",ODI # 1964
Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003",ODI # 1965
Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003",ODI # 1966
Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003",ODI # 1967
Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",ODI # 1968
England,India,India,82 runs,Durban,"Feb 26, 2003",ODI # 1969
Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003",ODI # 1970
South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003",ODI # 1971
Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003",ODI # 1972
Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003",ODI # 1973
Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003",ODI # 1974
India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975
Australia,England,Australia,2 wickets,Port Elizabeth,"Mar 2, 2003",ODI # 1976
Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003",ODI # 1977
Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",ODI # 1978
South Africa,Sri Lanka,tied,,Durban,"Mar 3, 2003",ODI # 1979
Zimbabwe,Pakistan,no result,,Bulawayo,"Mar 4, 2003",ODI # 1980
Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981
Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982
India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983
New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984
India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985
Australia,New Zealand,Australia,96 runs,Port Elizabeth,"Mar 11, 2003",ODI # 1986
Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003",ODI # 1987
India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988
Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003",ODI # 1989
Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003",ODI # 1990
Australia,Sri Lanka,Australia,48 runs,Port Elizabeth,"Mar 18, 2003",ODI # 1991
India,Kenya,India,91 runs,Durban,"Mar 20, 2003",ODI # 1992
Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993
West Indies,Pakistan,West Indies,54 runs,Kingston,"Mar 13, 2007",ODI # 2531
Australia,Scotland,Australia,203 runs,Basseterre,"Mar 14, 2007",ODI # 2532
Canada,Kenya,Kenya,7 wickets,Gros Islet,"Mar 14, 2007",ODI # 2533
Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,"Mar 15, 2007",ODI # 2534
Ireland,Zimbabwe,tied,,Kingston,"Mar 15, 2007",ODI # 2535
England,New Zealand,New Zealand,6 wickets,Gros Islet,"Mar 16, 2007",ODI # 2536
Netherlands,South Africa,South Africa,221 runs,Basseterre,"Mar 16, 2007",ODI # 2537
Bangladesh,India,Bangladesh,5 wickets,Port of Spain,"Mar 17, 2007",ODI # 2538
Ireland,Pakistan,Ireland,3 wickets,Kingston,"Mar 17, 2007",ODI # 2539
Australia,Netherlands,Australia,229 runs,Basseterre,"Mar 18, 2007",ODI # 2540
Canada,England,England,51 runs,Gros Islet,"Mar 18, 2007",ODI # 2541
Bermuda,India,India,257 runs,Port of Spain,"Mar 19, 2007",ODI # 2542
West Indies,Zimbabwe,West Indies,6 wickets,Kingston,"Mar 19, 2007",ODI # 2543
Kenya,New Zealand,New Zealand,148 runs,Gros Islet,"Mar 20, 2007",ODI # 2544
Scotland,South Africa,South Africa,7 wickets,Basseterre,"Mar 20, 2007",ODI # 2545
Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,"Mar 21, 2007",ODI # 2546
Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,"Mar 21, 2007",ODI # 2547
Canada,New Zealand,New Zealand,114 runs,Gros Islet,"Mar 22, 2007",ODI # 2548
Netherlands,Scotland,Netherlands,8 wickets,Basseterre,"Mar 22, 2007",ODI # 2549
India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,"Mar 23, 2007",ODI # 2550
West Indies,Ireland,West Indies,8 wickets,Kingston,"Mar 23, 2007",ODI # 2551
Australia,South Africa,Australia,83 runs,Basseterre,"Mar 24, 2007",ODI # 2552
England,Kenya,England,7 wickets,Gros Islet,"Mar 24, 2007",ODI # 2553
Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,"Mar 25, 2007",ODI # 2554
West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007",ODI # 2555
South Africa,Sri Lanka,South Africa,1 wicket,Providence,"Mar 28, 2007",ODI # 2556
West Indies,New Zealand,New Zealand,7 wickets,North Sound,"Mar 29, 2007",ODI # 2557
England,Ireland,England,48 runs,Providence,"Mar 30, 2007",ODI # 2558
Australia,Bangladesh,Australia,10 wickets,North Sound,"Mar 31, 2007",ODI # 2559
West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,"Apr 1, 2007",ODI # 2560
Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,"Apr 2, 2007",ODI # 2561
Ireland,South Africa,South Africa,7 wickets,Providence,"Apr 3, 2007",ODI # 2562
England,Sri Lanka,Sri Lanka,2 runs,North Sound,"Apr 4, 2007",ODI # 2563
Bangladesh,South Africa,Bangladesh,67 runs,Providence,"Apr 7, 2007",ODI # 2564
Australia,England,Australia,7 wickets,North Sound,"Apr 8, 2007",ODI # 2565
Ireland,New Zealand,New Zealand,129 runs,Providence,"Apr 9, 2007",ODI # 2566
West Indies,South Africa,South Africa,67 runs,St George's,"Apr 10, 2007",ODI # 2567
Bangladesh,England,England,4 wickets,Bridgetown,"Apr 11, 2007",ODI # 2568
New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,"Apr 12, 2007",ODI # 2569
Australia,Ireland,Australia,9 wickets,Bridgetown,"Apr 13, 2007",ODI # 2570
New Zealand,South Africa,New Zealand,5 wickets,St George's,"Apr 14, 2007",ODI # 2571
Bangladesh,Ireland,Ireland,74 runs,Bridgetown,"Apr 15, 2007",ODI # 2572
Australia,Sri Lanka,Australia,7 wickets,St George's,"Apr 16, 2007",ODI # 2573
England,South Africa,South Africa,9 wickets,Bridgetown,"Apr 17, 2007",ODI # 2574
Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,"Apr 18, 2007",ODI # 2575
West Indies,Bangladesh,West Indies,99 runs,Bridgetown,"Apr 19, 2007",ODI # 2576
Australia,New Zealand,Australia,215 runs,St George's,"Apr 20, 2007",ODI # 2577
West Indies,England,England,1 wicket,Bridgetown,"Apr 21, 2007",ODI # 2578
New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,"Apr 24, 2007",ODI # 2579
Australia,South Africa,Australia,7 wickets,Gros Islet,"Apr 25, 2007",ODI # 2580
Australia,Sri Lanka,Australia,53 runs,Bridgetown,"Apr 28, 2007",ODI # 2581
Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011",ODI # 3100
Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011",ODI # 3101
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011",ODI # 3102
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011",ODI # 3103
England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011",ODI # 3104
Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011",ODI # 3105
South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011",ODI # 3106
Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011",ODI # 3107
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011",ODI # 3108
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011",ODI # 3109
India,England,tied,,Bengaluru,"Feb 27, 2011",ODI # 3110
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011",ODI # 3111
Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011",ODI # 3112
Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011",ODI # 3113
England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011",ODI # 3114
Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011",ODI # 3115
Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011",ODI # 3116
New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011",ODI # 3117
Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011",ODI # 3118
Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011",ODI # 3119
England,South Africa,England,6 runs,Chennai,"Mar 6, 2011",ODI # 3120
India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011",ODI # 3121
Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011",ODI # 3122
New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011",ODI # 3123
India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011",ODI # 3124
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011",ODI # 3125
Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011",ODI # 3126
Bangladesh,England,Bangladesh,2 wickets,Chattogram,"Mar 11, 2011",ODI # 3127
India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128
Canada,New Zealand,New Zealand,97 runs,Mumbai,"Mar 13, 2011",ODI # 3129
Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011",ODI # 3130
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,"Mar 14, 2011",ODI # 3131
